  8     0.032     0.201  
  9     0.026     0.117  
 10     0.022    -0.079  
 11     0.017     0.013  
 12     0.037     0.325  
 13     0.032     0.247  
 14     0.028     0.328  
 15     0.023     0.192  
 16     0.018     0.176  
 17     0.014     0.153  
 18     0.012     0.170  
 19     0.008     0.235  
 20     0.024     0.286  
 21     0.020     0.109  
 22     0.018    -0.059  
 23     0.013     0.013  
  0     0.010    -0.023  
  1     0.004     0.0
  2    -0.001     0.0
  3    -0.008     0.0
  4     0.003     0.0
  5    -0.000     0.0
  6    -0.008     0.0
  7    -0.013     0.349  
120    -0.004     0.000  
121    -0.007     0.000  
122    -0.013     0.000  
123    -0.016     0.000  
124    -0.007     0.000  
125    -0.012     0.000  
126    -0.016     0.000  
127    -0.020     0.000  
 40    -0.063     0.166  
 41    -0.061     0.119  
 42    -0.056     0.041  
 43    -0.052    -0.101  
 44    -0.070     0.148  
 45    -0.066     0.216  
 46    -0.062     0.118  
 47    -0.055     0.055  
 48    -0.050     0.187  
 49    -0.046     0.063  
 50    -0.043     0.152  
 51    -0.040     0.208  
 52    -0.057    -0.017  
 53    -0.053     0.034  
 54    -0.051     0.034  
 55    -0.047    -0.064  
 24    -0.016     0.000  
 25    -0.020     0.000  
 26    -0.024    -0.001  
 27    -0.030     0.027  
 28    -0.010     0.000  
 29    -0.016     0.000  
 30    -0.020     0.105  
 31    -0.025    -0.025  
 32    -0.026     0.000  
 33    -0.028     0.000  
 34    -0.032    -0.301  
 35    -0.038    -0.097  
 36    -0.022     0.000  
 37    -0.025     0.000  
 38    -0.028    -0.220  
 39    -0.034    -0.137  
